"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"fr-lm-serie-imagerie","fr-lm-serie-imagerie","","","",0,*,"","","","null {[]} {[]}
","Logical model - FR LM Serie imagerie","Serie imagerie","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"fr-lm-serie-imagerie.header","fr-lm-serie-imagerie.header","","","",1,1,"","","","Base {[]} {[]}
","Métadonnées de base","Métadonnées de base","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header",1,1,"",""
"fr-lm-serie-imagerie.header.subject","fr-lm-serie-imagerie.header.subject","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-patient {[]} {[]}
","Patient / Usager","Patient / Usager","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.subject",1,1,"",""
"fr-lm-serie-imagerie.header.identifier","fr-lm-serie-imagerie.header.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiant de l’entrée","Identifiant de l’entrée","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.identifier",0,*,"",""
"fr-lm-serie-imagerie.header.author[x]","fr-lm-serie-imagerie.header.author[x]","","","",0,*,"","","","Base {[]} {[]}
","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","author[x] peut correspondre soit à un professionnel, soit à une organisation, soit à un système.","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x]",0,*,"",""
"fr-lm-serie-imagerie.header.author[x].authorProfessional","fr-lm-serie-imagerie.header.author[x].authorProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","L'auteur est un professionnel de santé","L'auteur est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorProfessional",0,*,"",""
"fr-lm-serie-imagerie.header.author[x].authorOrganisation","fr-lm-serie-imagerie.header.author[x].authorOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","L'auteur est une organisation","L'auteur est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorOrganisation",0,*,"",""
"fr-lm-serie-imagerie.header.author[x].authorDevice","fr-lm-serie-imagerie.header.author[x].authorDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","L'auteur est un système","L'auteur est un système","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.author[x].authorDevice",0,*,"",""
"fr-lm-serie-imagerie.header.performer[x]","fr-lm-serie-imagerie.header.performer[x]","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}","Exécutant (performer)","Exécutant (performer)","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.performer[x]",0,*,"",""
"fr-lm-serie-imagerie.header.participant[x]","fr-lm-serie-imagerie.header.participant[x]","","","",0,*,"","","","Base {[]} {[]}
","Participant","Participant","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x]",0,*,"",""
"fr-lm-serie-imagerie.header.participant[x].participantProfessional","fr-lm-serie-imagerie.header.participant[x].participantProfessional","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-health-professional {[]} {[]}
","Le participant est un professionnel de santé","Le participant est un professionnel de santé","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantProfessional",0,*,"",""
"fr-lm-serie-imagerie.header.participant[x].participantOrganisation","fr-lm-serie-imagerie.header.participant[x].participantOrganisation","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-organisation {[]} {[]}
","Le participant est une organisation","Le participant est une organisation","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantOrganisation",0,*,"",""
"fr-lm-serie-imagerie.header.participant[x].participantDevice","fr-lm-serie-imagerie.header.participant[x].participantDevice","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-device {[]} {[]}
","Le participant est un système","Le participant est un système","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.participant[x].participantDevice",0,*,"",""
"fr-lm-serie-imagerie.header.informant","fr-lm-serie-imagerie.header.informant","","","",0,*,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-informant {[]} {[]}
","Informateur","Informateur","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.informant",0,*,"",""
"fr-lm-serie-imagerie.header.date","fr-lm-serie-imagerie.header.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date/Heure de création par l'auteur","Date/Heure de création par l'auteur","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.date",0,1,"",""
"fr-lm-serie-imagerie.header.status","fr-lm-serie-imagerie.header.status","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Statut de l'acte","Statut de l'acte","","","","","","","","","",,"","jdv-hl7-v3-ActStatus-cisis (2.16.840.1.113883.1.11.15933)","https://smt.esante.gouv.fr/fhir/ValueSet/jdv-hl7-v3-ActStatus-cisis","",,,,"fr-lm-entry.header.status",1,1,"",""
"fr-lm-serie-imagerie.header.source","fr-lm-serie-imagerie.header.source","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Source","Source","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.source",0,1,"",""
"fr-lm-serie-imagerie.header.language","fr-lm-serie-imagerie.header.language","","","",0,1,"","","","CodeableConcept {[]} {[]}
","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","'fr-FR' pour français métropolitain (la casse des caractères doit être respectée)
La partie en minuscules indique le code de la langue utilisée (ISO-639-1)
La partie en majuscules indique le code pays (ISO-3166)","","","","","","","","","",,,,,"",,,,"fr-lm-entry.header.language",0,1,"",""
"fr-lm-serie-imagerie.uuidSerie","fr-lm-serie-imagerie.uuidSerie","","","",1,*,"","","","Identifier {[]} {[]}
","UUID serie","UUID serie","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.uuidSerie",1,*,"",""
"fr-lm-serie-imagerie.code","fr-lm-serie-imagerie.code","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Code de l'entrée","Code de l'entrée","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.code",1,1,"",""
"fr-lm-serie-imagerie.date","fr-lm-serie-imagerie.date","","","",0,1,"","","","dateTime {[]} {[]}
","Date de la série d'actes","Date de la série d'actes","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.date",0,1,"",""
"fr-lm-serie-imagerie.instanceSOP","fr-lm-serie-imagerie.instanceSOP","","","",1,1,"","","","https://interop.esante.gouv.fr/ig/document/core/StructureDefinition/fr-lm-sop-instance {[]} {[]}
","SOP instance","SOP instance","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.instanceSOP",1,1,"",""
"fr-lm-serie-imagerie.referenceWado","fr-lm-serie-imagerie.referenceWado","","","",1,1,"","","","Base {[]} {[]}
","Référence WADO","Référence WADO","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.referenceWado",1,1,"",""
"fr-lm-serie-imagerie.referenceWado.iHEInvokeImage","fr-lm-serie-imagerie.referenceWado.iHEInvokeImage","","","",1,1,"","","","CodeableConcept {[]} {[]}
","IHE Invoke Image Display","IHE Invoke Image Display","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.referenceWado.iHEInvokeImage",1,1,"",""
"fr-lm-serie-imagerie.referenceWado.typeMedia","fr-lm-serie-imagerie.referenceWado.typeMedia","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Type de media","Type de media","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.referenceWado.typeMedia",1,1,"",""
"fr-lm-serie-imagerie.referenceWado.reference","fr-lm-serie-imagerie.referenceWado.reference","","","",1,1,"","","","uri {[]} {[]}
","Référence WADO","Référence WADO","","","","","","","","","",,,,,"",,,,"fr-lm-serie-imagerie.referenceWado.reference",1,1,"",""
